Package,Package Version,arn
dynamodb-encryption-sdk,3.2.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-dynamodb-encryption-sdk:4
selenium,4.14.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-selenium:2
tabulate,0.9.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-tabulate:1
bcrypt,4.0.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-bcrypt:1
paramiko,3.3.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-paramiko:1
s3fs,2023.10.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-s3fs:1
pandas,2.1.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-pandas:4
matplotlib,3.8.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-matplotlib:3
numpy,1.26.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-numpy:3
redshift-connector,2.0.915,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-redshift-connector:4
pyqldb,3.2.3,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-pyqldb:4
pydantic,2.4.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-pydantic:1
aws-requests-auth,0.4.3,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-aws-requests-auth:3
pymysql,1.1.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-pymysql:1
requests-html,0.10.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-requests-html:3
zeep,4.2.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-zeep:1
beautifulsoup4,4.12.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-beautifulsoup4:2
Pillow,10.1.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-Pillow:2
elasticsearch,8.10.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-elasticsearch:2
aws-xray-sdk,2.12.1,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-aws-xray-sdk:4
jinja2,3.1.2,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-jinja2:1
pymongo,4.5.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-pymongo:1
requests,2.31.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-requests:3
boto3,1.28.75,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-boto3:4
polars,0.19.12,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-polars:1
cryptography,41.0.5,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-cryptography:3
idna,3.4,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-idna:1
mysql-connector-python,8.2.0,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-p311-mysql-connector-python:2
